PanelType;Cell type;Cell data;Bet ranges;Bet type;Name;Description;Connected cell 1 name;Connected cell 2 name
PreflopBtn;StatCell;PreflopData;;;Btn_Isolate_CC_Raise;BTN raise (isolate pot as cold caller);Btn_Isolate_CC_Call;
PreflopBtn;StatCell;PreflopData;;;Btn_Isolate_Limper_Fold;BTN fold (isolate pot as limper);Btn_Isolate_Limper_Call;Btn_Isolate_Limper_Raise
PreflopBtn;StatCell;PreflopData;;;Btn_Isolate_Limper_Call;BTN call (isolate pot as limper);Btn_Isolate_Limper_Fold;Btn_Isolate_Limper_Raise
PreflopBtn;StatCell;PreflopData;;;Btn_Isolate_Limper_Raise;BTN raise (isolate pot as limper);Btn_Isolate_Limper_Call;
PreflopBtn;StatCell;PreflopData;;;Btn_Squeeze_CC_Fold;BTN fold (squeeze pot as cold caller);Btn_Squeeze_CC_Call;Btn_Squeeze_CC_Raise
PreflopBtn;StatCell;PreflopData;;;Btn_Squeeze_CC_Call;BTN call (squeeze pot as cold caller);Btn_Squeeze_CC_Fold;Btn_Squeeze_CC_Raise
PreflopBtn;StatCell;PreflopData;;;Btn_Squeeze_CC_Raise;BTN raise (squeeze pot as cold caller);Btn_Squeeze_CC_Call;
PreflopBtn;StatCell;PreflopData;;;Btn_Squeeze_Raiser_Fold;BTN fold (squeeze pot as raiser);Btn_Squeeze_Raiser_Call;Btn_Squeeze_Raiser_Raise
PreflopBtn;StatCell;PreflopData;;;Btn_Squeeze_Raiser_Call;BTN call (squeeze pot as raiser);Btn_Squeeze_Raiser_Fold;Btn_Squeeze_Raiser_Raise
PreflopBtn;StatCell;PreflopData;;;Btn_Squeeze_Raiser_Raise;BTN raise (squeeze pot as raiser);Btn_Squeeze_Raiser_Call;
PreflopBtn;StatCell;PreflopData;;;Btn_Squeeze_Caller_Fold;BTN fold (squeeze pot as caller);Btn_Squeeze_Caller_Call;Btn_Squeeze_Caller_Raise
PreflopBtn;StatCell;PreflopData;;;Btn_Squeeze_Caller_Call;BTN call (squeeze pot as caller);Btn_Squeeze_Caller_Fold;Btn_Squeeze_Caller_Raise
PreflopBtn;StatCell;PreflopData;;;Btn_Squeeze_Caller_Raise;BTN raise (squeeze pot as caller);Btn_Squeeze_Caller_Call;
PreflopBtn;StatCell;PreflopData;;;Btn_RaiseIsolate_CC_Fold;BTN fold (raise isolate pot as cold caller);Btn_RaiseIsolate_CC_Call;Btn_RaiseIsolate_CC_Raise
PreflopBtn;StatCell;PreflopData;;;Btn_RaiseIsolate_CC_Call;BTN call (raise isolate pot as cold caller);Btn_RaiseIsolate_CC_Fold;Btn_RaiseIsolate_CC_Raise
PreflopBtn;StatCell;PreflopData;;;Btn_RaiseIsolate_CC_Raise;BTN raise (raise isolate pot as cold caller);Btn_RaiseIsolate_CC_Call;
