Game type;Round;Position;Relative position;Opponent position;Players on flop;Preflop pot type;Preflop actions;Other players acted;Set type
SixMax;Postflop;Sb;Oop;Bb;Hu;RaisePot;Raise;No;PostflopHuOopRaiser
SixMax;Postflop;Sb;Any;Any;Hu;IsolatePot;Raise;Any;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Multiway;IsolatePot;Raise;Yes;PostflopGeneral
SixMax;Postflop;Sb;Oop;Ep;Hu;RaisePot;Call;No;PostflopHuOopCaller
SixMax;Postflop;Sb;Oop;Mp;Hu;RaisePot;Call;No;PostflopHuOopCaller
SixMax;Postflop;Sb;Oop;Co;Hu;RaisePot;Call;No;PostflopHuOopCaller
SixMax;Postflop;Sb;Oop;Btn;Hu;RaisePot;Call;No;PostflopHuOopCaller
SixMax;Postflop;Sb;Any;Any;Multiway;RaisePot;Call;Yes;PostflopGeneral
SixMax;Postflop;Sb;Oop;Ep;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser
SixMax;Postflop;Sb;Oop;Mp;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser
SixMax;Postflop;Sb;Oop;Co;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser
SixMax;Postflop;Sb;Oop;Btn;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser
SixMax;Postflop;Sb;Oop;Bb;Hu;ThreeBetPot;Raise;No;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Multiway;ThreeBetPot;Raise;Yes;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Hu;SqueezePot;Raise;Any;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Multiway;SqueezePot;Raise;Yes;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Hu;IsolatePot;Call;Any;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Multiway;IsolatePot;Call;Yes;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Hu;RaiseIsolatePot;Raise;Any;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Multiway;RaiseIsolatePot;Raise;Yes;PostflopGeneral
SixMax;Postflop;Sb;Oop;Bb;Hu;IsolatePot;CallCall;No;PostflopHuOopCaller
SixMax;Postflop;Sb;Any;Any;Hu;IsolatePot;CallCall;Any;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Multiway;IsolatePot;CallCall;Yes;PostflopGeneral
SixMax;Postflop;Sb;Oop;Bb;Hu;RaiseIsolatePot;CallRaise;No;PostflopHuOopRaiser
SixMax;Postflop;Sb;Any;Any;Hu;RaiseIsolatePot;CallRaise;Any;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Multiway;RaiseIsolatePot;CallRaise;Yes;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Hu;SqueezePot;Call;Any;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Multiway;SqueezePot;Call;Yes;PostflopGeneral
