Game type;Round;Position;Relative position;Opponent position;Players on flop;Preflop pot type;Preflop actions;Other players acted;Set type
SixMax;Postflop;Co;Any;Any;Multiway;RaiseIsolatePot;RaiseCall;Yes;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Hu;RaiseIsolatePot;CallCall;Any;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Multiway;RaiseIsolatePot;CallCall;Yes;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Hu;ThreeBetPot;Call;Any;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Multiway;ThreeBetPot;Call;Yes;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Hu;FourBetPot;Raise;Any;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Multiway;FourBetPot;Raise;Yes;PostflopGeneral
SixMax;Postflop;Co;Oop;Btn;Hu;ThreeBetPot;RaiseCall;No;PostflopHuOopCaller
SixMax;Postflop;Co;Ip;Sb;Hu;ThreeBetPot;RaiseCall;No;PostflopHuIpCaller
SixMax;Postflop;Co;Ip;Bb;Hu;ThreeBetPot;RaiseCall;No;PostflopHuIpCaller
SixMax;Postflop;Co;Any;Any;Multiway;ThreeBetPot;RaiseCall;Yes;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Hu;FourBetPot;AnyCall;Any;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Multiway;FourBetPot;AnyCall;Yes;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Hu;FiveBetPot;AnyRaise;Any;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Multiway;FiveBetPot;AnyRaise;Yes;PostflopGeneral
Hu;Postflop;Sb;Ip;Bb;Hu;LimpPot;Call;No;PostflopHuIpCaller
Hu;Postflop;Sb;Ip;Bb;Hu;RaisePot;Raise;No;PostflopHuIpRaiser
Hu;Postflop;Sb;Ip;Bb;Hu;IsolatePot;CallCall;No;PostflopHuIpCaller
Hu;Postflop;Sb;Ip;Bb;Hu;RaiseIsolatePot;CallRaise;No;PostflopHuIpRaiser
Hu;Postflop;Sb;Ip;Bb;Hu;ThreeBetPot;RaiseCall;No;PostflopHuIpCaller
Hu;Postflop;Sb;Ip;Bb;Hu;FourBetPot;RaiseRaise;No;PostflopHuIpRaiser
Hu;Postflop;Sb;Ip;Bb;Hu;FourBetPot;AnyCall;No;PostflopHuIpCaller
Hu;Postflop;Sb;Ip;Bb;Hu;FiveBetPot;AnyRaise;No;PostflopHuIpRaiser
Hu;Postflop;Sb;Ip;Bb;Hu;FiveBetPot;AnyCall;No;PostflopHuIpCaller
Hu;Postflop;Bb;Oop;Sb;Hu;LimpPot;Check;No;PostflopHuOopCaller
Hu;Postflop;Bb;Oop;Sb;Hu;IsolatePot;Raise;No;PostflopHuOopRaiser
Hu;Postflop;Bb;Oop;Sb;Hu;RaisePot;Call;No;PostflopHuOopCaller
Hu;Postflop;Bb;Oop;Sb;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser
Hu;Postflop;Bb;Oop;Sb;Hu;RaiseIsolatePot;RaiseCall;No;PostflopHuOopCaller
Hu;Postflop;Bb;Oop;Sb;Hu;FourBetPot;RaiseRaise;No;PostflopHuOopRaiser
Hu;Postflop;Bb;Oop;Sb;Hu;FourBetPot;AnyCall;No;PostflopHuOopCaller
Hu;Postflop;Bb;Oop;Sb;Hu;FiveBetPot;AnyRaise;No;PostflopHuOopRaiser
Hu;Postflop;Bb;Oop;Sb;Hu;FiveBetPot;AnyCall;No;PostflopHuOopCaller
