Game type;Round;Position;Relative position;Opponent position;Players on flop;Preflop pot type;Preflop actions;Other players acted;Set type;Cell name;Stat default value;Main group dflt values;Sg1 dflt vals;Sg2 dflt vals;Sg3 dflt vals;Sg4 dflt vals
SixMax;Postflop;Sb;Oop;Mp;Hu;RaisePot;Call;No;PostflopHuOopCaller;FvBet_F;42.64706;;;;;
SixMax;Postflop;Sb;Oop;Mp;Hu;RaisePot;Call;No;PostflopHuOopCaller;CvBet_F;47.058823;61.653847,;;;;
SixMax;Postflop;Sb;Oop;Mp;Hu;RaisePot;Call;No;PostflopHuOopCaller;Raise_F;10.37037;;;;;
SixMax;Postflop;Sb;Oop;Co;Hu;RaisePot;Call;No;PostflopHuOopCaller;FvCB_F;45.736435;;;;;
SixMax;Postflop;Sb;Oop;Co;Hu;RaisePot;Call;No;PostflopHuOopCaller;CvCB_F;43.410854;54,;;;;
SixMax;Postflop;Sb;Oop;Co;Hu;RaisePot;Call;No;PostflopHuOopCaller;RvCB_F;10.852714;;;;;
SixMax;Postflop;Sb;Oop;Co;Hu;RaisePot;Call;No;PostflopHuOopCaller;DONK_F;0.5;;;;;
SixMax;Postflop;Sb;Oop;Co;Hu;RaisePot;Call;No;PostflopHuOopCaller;DONKX_F;99.5;50.346153,;;;;
SixMax;Postflop;Sb;Oop;Co;Hu;RaisePot;Call;No;PostflopHuOopCaller;Bet_F;0.5;;;;;
SixMax;Postflop;Sb;Oop;Co;Hu;RaisePot;Call;No;PostflopHuOopCaller;Bet_T;23.846153;;;;;
SixMax;Postflop;Sb;Oop;Co;Hu;RaisePot;Call;No;PostflopHuOopCaller;Check_F;99.5;50.346153,;;;;
SixMax;Postflop;Sb;Oop;Co;Hu;RaisePot;Call;No;PostflopHuOopCaller;Check_T;76.15385;50.214287,;;;;
SixMax;Postflop;Sb;Oop;Co;Hu;RaisePot;Call;No;PostflopHuOopCaller;Check_R;;48.565216,;;;;
SixMax;Postflop;Sb;Oop;Co;Hu;RaisePot;Call;No;PostflopHuOopCaller;FvBet_F;45.736435;;;;;
SixMax;Postflop;Sb;Oop;Co;Hu;RaisePot;Call;No;PostflopHuOopCaller;CvBet_F;43.410854;54,;;;;
SixMax;Postflop;Sb;Oop;Co;Hu;RaisePot;Call;No;PostflopHuOopCaller;Raise_F;10.852714;;;;;
SixMax;Postflop;Sb;Oop;Btn;Hu;RaisePot;Call;No;PostflopHuOopCaller;FvCB_F;43.57143;;;;;
SixMax;Postflop;Sb;Oop;Btn;Hu;RaisePot;Call;No;PostflopHuOopCaller;CvCB_F;45;;;;;
SixMax;Postflop;Sb;Oop;Btn;Hu;RaisePot;Call;No;PostflopHuOopCaller;RvCB_F;11.428572;;;;;
SixMax;Postflop;Sb;Oop;Btn;Hu;RaisePot;Call;No;PostflopHuOopCaller;DONK_F;0.81632656;;;;;
SixMax;Postflop;Sb;Oop;Btn;Hu;RaisePot;Call;No;PostflopHuOopCaller;DONKX_F;99.18367;48.536232,;;;;
SixMax;Postflop;Sb;Oop;Btn;Hu;RaisePot;Call;No;PostflopHuOopCaller;DONKX_T;;59.692307,;;;;
SixMax;Postflop;Sb;Oop;Btn;Hu;RaisePot;Call;No;PostflopHuOopCaller;PROBE_T;49.514565;;;;;
SixMax;Postflop;Sb;Oop;Btn;Hu;RaisePot;Call;No;PostflopHuOopCaller;PROBEX_T;50.485435;;;;;
SixMax;Postflop;Sb;Oop;Btn;Hu;RaisePot;Call;No;PostflopHuOopCaller;Bet_F;0.81632656;;;;;
SixMax;Postflop;Sb;Oop;Btn;Hu;RaisePot;Call;No;PostflopHuOopCaller;Bet_T;34.090908;;;;;
SixMax;Postflop;Sb;Oop;Btn;Hu;RaisePot;Call;No;PostflopHuOopCaller;Bet_R;46.875;;;;;
SixMax;Postflop;Sb;Oop;Btn;Hu;RaisePot;Call;No;PostflopHuOopCaller;Check_F;99.18367;48.536232,;;;;
SixMax;Postflop;Sb;Oop;Btn;Hu;RaisePot;Call;No;PostflopHuOopCaller;Check_T;65.90909;51,;;;;
SixMax;Postflop;Sb;Oop;Btn;Hu;RaisePot;Call;No;PostflopHuOopCaller;Check_R;53.125;44.019608,;;;;
SixMax;Postflop;Sb;Oop;Btn;Hu;RaisePot;Call;No;PostflopHuOopCaller;FvBet_F;43.57143;;;;;
SixMax;Postflop;Sb;Oop;Btn;Hu;RaisePot;Call;No;PostflopHuOopCaller;CvBet_F;45;;;;;
SixMax;Postflop;Sb;Oop;Btn;Hu;RaisePot;Call;No;PostflopHuOopCaller;Raise_F;11.428572;;;;;
SixMax;Postflop;Sb;Any;Any;Multiway;RaisePot;Call;Yes;PostflopGeneral;Bet_F;2.905983;;;;;
SixMax;Postflop;Sb;Any;Any;Multiway;RaisePot;Call;Yes;PostflopGeneral;Bet_T;23.735954;74.681816,;;;;
SixMax;Postflop;Sb;Any;Any;Multiway;RaisePot;Call;Yes;PostflopGeneral;Bet_R;32.186733;71.05454,;;;;
SixMax;Postflop;Sb;Any;Any;Multiway;RaisePot;Call;Yes;PostflopGeneral;Check_F;97.09402;58.47345,47.59375;;;;
SixMax;Postflop;Sb;Any;Any;Multiway;RaisePot;Call;Yes;PostflopGeneral;Check_T;76.264046;58,;;;;
SixMax;Postflop;Sb;Any;Any;Multiway;RaisePot;Call;Yes;PostflopGeneral;Check_R;67.81327;53.80214,;;;;
SixMax;Postflop;Sb;Any;Any;Multiway;RaisePot;Call;Yes;PostflopGeneral;FvBet_F;59.813084;;;;;
SixMax;Postflop;Sb;Any;Any;Multiway;RaisePot;Call;Yes;PostflopGeneral;FvBet_T;62.264153;;;;;
SixMax;Postflop;Sb;Any;Any;Multiway;RaisePot;Call;Yes;PostflopGeneral;FvBet_R;63.076923;;;;;
SixMax;Postflop;Sb;Any;Any;Multiway;RaisePot;Call;Yes;PostflopGeneral;CvBet_F;33.02181;66.56,;;;;
SixMax;Postflop;Sb;Any;Any;Multiway;RaisePot;Call;Yes;PostflopGeneral;CvBet_T;31.761005;70.1579,;;;;
SixMax;Postflop;Sb;Any;Any;Multiway;RaisePot;Call;Yes;PostflopGeneral;CvBet_R;31.538462;66.585365,;;;;
SixMax;Postflop;Sb;Any;Any;Multiway;RaisePot;Call;Yes;PostflopGeneral;Raise_F;7.2100315;;;;;
SixMax;Postflop;Sb;Any;Any;Multiway;RaisePot;Call;Yes;PostflopGeneral;Raise_T;6.0702877;;;;;
SixMax;Postflop;Sb;Any;Any;Multiway;RaisePot;Call;Yes;PostflopGeneral;Raise_R;5.8333335;;;;;
SixMax;Postflop;Sb;Oop;Ep;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;CB_F;78.064514;62.942856,;;;;
SixMax;Postflop;Sb;Oop;Ep;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;CX_F;21.935484;;;;;
SixMax;Postflop;Sb;Oop;Ep;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;Bet_F;78.064514;62.942856,;;;;
SixMax;Postflop;Sb;Oop;Ep;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;Bet_T;33.66337;;;;;
SixMax;Postflop;Sb;Oop;Ep;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;Check_F;21.935484;;;;;
SixMax;Postflop;Sb;Oop;Ep;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;Check_T;66.33663;62.289474,;;;;
SixMax;Postflop;Sb;Oop;Ep;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;Check_R;;54.774193,;;;;
SixMax;Postflop;Sb;Oop;Mp;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;CB_F;78.104576;64.88158,;66.62712,;;;
SixMax;Postflop;Sb;Oop;Mp;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;CB_T;37.762238;;;;;
SixMax;Postflop;Sb;Oop;Mp;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;CX_F;21.895424;69.10345,;;;;
SixMax;Postflop;Sb;Oop;Mp;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;CX_T;62.237762;62.357143,;;;;
SixMax;Postflop;Sb;Oop;Mp;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;Bet_F;78.104576;64.88158,;66.62712,;;;
SixMax;Postflop;Sb;Oop;Mp;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;Bet_T;36.945812;;;;;
SixMax;Postflop;Sb;Oop;Mp;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;Bet_R;35.87786;69.26923,;;;;
SixMax;Postflop;Sb;Oop;Mp;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;Check_F;21.895424;69.10345,;;;;
SixMax;Postflop;Sb;Oop;Mp;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;Check_T;63.054188;65.01538,;;;;
SixMax;Postflop;Sb;Oop;Mp;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;Check_R;64.12214;57.86885,;;;;
SixMax;Postflop;Sb;Oop;Mp;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;CvBet_T;;69.89655,;;;;
SixMax;Postflop;Sb;Oop;Co;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;CB_F;78.5567;63.36,;63.013157,;;;
SixMax;Postflop;Sb;Oop;Co;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;CB_T;35.648148;;;;;
SixMax;Postflop;Sb;Oop;Co;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;CX_F;21.443298;62.11111,;;;;
SixMax;Postflop;Sb;Oop;Co;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;CX_T;64.35185;61,;;;;
SixMax;Postflop;Sb;Oop;Co;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;Bet_F;78.5567;63.36,;63.013157,;;;
SixMax;Postflop;Sb;Oop;Co;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;Bet_T;32.13115;71.22222,;;;;
SixMax;Postflop;Sb;Oop;Co;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;Bet_R;40.72165;68.41936,;;;;
SixMax;Postflop;Sb;Oop;Co;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;Check_F;21.443298;62.11111,;;;;
SixMax;Postflop;Sb;Oop;Co;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;Check_T;67.86885;62.674156,;;;;
SixMax;Postflop;Sb;Oop;Co;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;Check_R;59.27835;59.86905,;;;;
SixMax;Postflop;Sb;Oop;Co;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;CvBet_T;;62.41379,;;;;
SixMax;Postflop;Sb;Oop;Co;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;CvBet_R;;68.65385,;;;;
SixMax;Postflop;Sb;Oop;Btn;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;CB_F;80.60075;63.308178,;65.152,;54.214287,;;
SixMax;Postflop;Sb;Oop;Btn;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;CB_T;36.516853;73.21429,;;;;
SixMax;Postflop;Sb;Oop;Btn;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;CX_F;19.399248;58.661537,;;;;
SixMax;Postflop;Sb;Oop;Btn;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;CX_T;63.483147;62.98,;;;;
SixMax;Postflop;Sb;Oop;Btn;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;DELAY_R;50.86207;;;;;
SixMax;Postflop;Sb;Oop;Btn;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;DELAYX_T;;54.692307,;;;;
SixMax;Postflop;Sb;Oop;Btn;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;DELAYX_R;49.13793;48.717392,;;;;
SixMax;Postflop;Sb;Oop;Btn;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;FvFLOAT_T;43.636364;;;;;
SixMax;Postflop;Sb;Oop;Btn;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;CvFLOAT_T;44.545456;69.52778,;;;;
SixMax;Postflop;Sb;Oop;Btn;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;RvFLOAT_T;12.149532;;;;;
SixMax;Postflop;Sb;Oop;Btn;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;Bet_F;80.60075;63.308178,;65.152,;54.214287,;;
SixMax;Postflop;Sb;Oop;Btn;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;Bet_T;34.39364;71.568184,;;;;
SixMax;Postflop;Sb;Oop;Btn;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;Bet_R;39.61039;63.153847,;;;;
SixMax;Postflop;Sb;Oop;Btn;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;Check_F;19.399248;58.661537,;;;;
SixMax;Postflop;Sb;Oop;Btn;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;Check_T;65.60636;62.303226,41.2;;;;
SixMax;Postflop;Sb;Oop;Btn;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;Check_R;60.38961;55.603897,;;;;
SixMax;Postflop;Sb;Oop;Btn;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;FvBet_T;37.19512;;;;;
SixMax;Postflop;Sb;Oop;Btn;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;CvBet_T;52.439026;67.39683,;;;;
SixMax;Postflop;Sb;Oop;Btn;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;CvBet_R;;64.560974,;;;;
SixMax;Postflop;Sb;Oop;Btn;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser;Raise_T;11.258278;;;;;
SixMax;Postflop;Sb;Any;Any;Hu;SqueezePot;Raise;Any;PostflopGeneral;Bet_F;80.327866;64.192986,;65.333336,;;;
SixMax;Postflop;Sb;Any;Any;Hu;SqueezePot;Raise;Any;PostflopGeneral;Bet_T;31.578947;;;;;
SixMax;Postflop;Sb;Any;Any;Hu;SqueezePot;Raise;Any;PostflopGeneral;Check_F;19.67213;;;;;
SixMax;Postflop;Sb;Any;Any;Hu;SqueezePot;Raise;Any;PostflopGeneral;Check_T;68.42105;66.23404,;;;;
SixMax;Postflop;Sb;Any;Any;Hu;SqueezePot;Raise;Any;PostflopGeneral;Check_R;;64.27027,;;;;
SixMax;Postflop;Sb;Any;Any;Multiway;IsolatePot;Call;Yes;PostflopGeneral;Bet_F;3.5714285;;;;;
SixMax;Postflop;Sb;Any;Any;Multiway;IsolatePot;Call;Yes;PostflopGeneral;Check_F;96.42857;;;;;
SixMax;Postflop;Sb;Oop;Bb;Hu;ThreeBetPot;RaiseCall;No;PostflopHuOopCaller;FvCB_F;39.106144;;;;;
SixMax;Postflop;Sb;Oop;Bb;Hu;ThreeBetPot;RaiseCall;No;PostflopHuOopCaller;CvCB_F;48.044693;64.19178,;;;;
