PanelType;Cell type;Cell data;Name;Description;Connected cell 1 name;Connected cell 2 name
PreflopBtn;StatsCell;PreflopData;Btn_Squeeze_CC_Fold;BTN fold squeeze pot as cold caller;Btn_Squeeze_CC_Call;Btn_Squeeze_CC_Raise
PreflopBtn;StatsCell;PreflopData;Btn_Squeeze_CC_Call;BTN call squeeze pot as cold caller;Btn_Squeeze_CC_Raise;
PreflopBtn;StatsCell;PreflopData;Btn_Squeeze_CC_Raise;BTN raise squeeze pot as cold caller;Btn_Squeeze_CC_Call;
PreflopBtn;StatsCell;PreflopData;Btn_Squeeze_Raiser_Fold;BTN fold squeeze pot as raiser;Btn_Squeeze_Raiser_Call;Btn_Squeeze_Raiser_Raise
PreflopBtn;StatsCell;PreflopData;Btn_Squeeze_Raiser_Call;BTN call squeeze pot as raiser;Btn_Squeeze_Raiser_Raise;
PreflopBtn;StatsCell;PreflopData;Btn_Squeeze_Raiser_Raise;BTN raise squeeze pot as raiser;Btn_Squeeze_Raiser_Call;
PreflopBtn;StatsCell;PreflopData;Btn_Squeeze_Caller_Fold;BTN fold squeeze pot as caller;Btn_Squeeze_Caller_Call;Btn_Squeeze_Caller_Raise
PreflopBtn;StatsCell;PreflopData;Btn_Squeeze_Caller_Call;BTN call squeeze pot as caller;Btn_Squeeze_Caller_Raise;
PreflopBtn;StatsCell;PreflopData;Btn_Squeeze_Caller_Raise;BTN raise squeeze pot as caller;Btn_Squeeze_Caller_Call;
PreflopBtn;StatsCell;PreflopData;Btn_RaiseIsolate_CC_Fold;BTN fold raise isolate pot as cold caller;Btn_RaiseIsolate_CC_Call;Btn_RaiseIsolate_CC_Raise
PreflopBtn;StatsCell;PreflopData;Btn_RaiseIsolate_CC_Call;BTN call raise isolate pot as cold caller;Btn_RaiseIsolate_CC_Raise;
PreflopBtn;StatsCell;PreflopData;Btn_RaiseIsolate_CC_Raise;BTN raise raise isolate pot as cold caller;Btn_RaiseIsolate_CC_Call;
PreflopBtn;StatsCell;PreflopData;Btn_RaiseIsolate_Raiser_Fold;BTN fold raise isolate pot as raiser;Btn_RaiseIsolate_Raiser_Call;Btn_RaiseIsolate_Raiser_Raise
PreflopBtn;StatsCell;PreflopData;Btn_RaiseIsolate_Raiser_Call;BTN call raise isolate pot as raiser;Btn_RaiseIsolate_Raiser_Raise;
PreflopBtn;StatsCell;PreflopData;Btn_RaiseIsolate_Raiser_Raise;BTN raise raise isolate pot as raiser;Btn_RaiseIsolate_Raiser_Call;
PreflopBtn;StatsCell;PreflopData;Btn_RaiseIsolate_Limper_Fold;BTN fold raise isolate pot as limper;Btn_RaiseIsolate_Limper_Call;Btn_RaiseIsolate_Limper_Raise
PreflopBtn;StatsCell;PreflopData;Btn_RaiseIsolate_Limper_Call;BTN call raise isolate pot as limper;Btn_RaiseIsolate_Limper_Raise;
PreflopBtn;StatsCell;PreflopData;Btn_RaiseIsolate_Limper_Raise;BTN raise raise isolate pot as limper;Btn_RaiseIsolate_Limper_Call;
PreflopBtn;StatsCell;PreflopData;Btn_3bet_CC_Fold;BTN fold 3 bet pot as cold caller;Btn_3bet_CC_Call;Btn_3bet_CC_Raise
PreflopBtn;StatsCell;PreflopData;Btn_3bet_CC_Call;BTN call 3 bet pot as cold caller;Btn_3bet_CC_Raise;
PreflopBtn;StatsCell;PreflopData;Btn_3bet_CC_Raise;BTN raise 3 bet pot as cold caller;Btn_3bet_CC_Call;
PreflopBtn;StatsCell;PreflopData;Btn_3bet_Raiser_Fold;BTN fold 3 bet pot as raiser;Btn_3bet_Raiser_Call;Btn_3bet_Raiser_Raise
PreflopBtn;StatsCell;PreflopData;Btn_3bet_Raiser_Call;BTN call 3 bet pot as raiser;Btn_3bet_Raiser_Raise;
PreflopBtn;StatsCell;PreflopData;Btn_3bet_Raiser_Raise;BTN raise 3 bet pot as raiser;Btn_3bet_Raiser_Call;
PreflopBtn;StatsCell;PreflopData;Btn_3bet_Raiser_Vs_Sb_Fold;BTN fold 3 bet pot as raiser vs SB;Btn_3bet_Raiser_Vs_Sb_Call;Btn_3bet_Raiser_Vs_Sb_Raise
PreflopBtn;StatsCell;PreflopData;Btn_3bet_Raiser_Vs_Sb_Call;BTN call 3 bet pot as raiser vs SB;Btn_3bet_Raiser_Vs_Sb_Raise;
PreflopBtn;StatsCell;PreflopData;Btn_3bet_Raiser_Vs_Sb_Raise;BTN raise 3 bet pot as raiser vs SB;Btn_3bet_Raiser_Vs_Sb_Call;
PreflopBtn;StatsCell;PreflopData;Btn_3bet_Raiser_Vs_Bb_Fold;BTN fold 3 bet pot as raiser vs BB;Btn_3bet_Raiser_Vs_Bb_Call;Btn_3bet_Raiser_Vs_Bb_Raise
PreflopBtn;StatsCell;PreflopData;Btn_3bet_Raiser_Vs_Bb_Call;BTN call 3 bet pot as raiser vs BB;Btn_3bet_Raiser_Vs_Bb_Raise;
PreflopBtn;StatsCell;PreflopData;Btn_3bet_Raiser_Vs_Bb_Raise;BTN raise 3 bet pot as raiser vs BB;Btn_3bet_Raiser_Vs_Bb_Call;
PreflopBtn;StatsCell;PreflopData;Btn_3bet_Raiser_Vs_Multi_Fold;BTN fold 3 bet pot as raiser multiway;Btn_3bet_Raiser_Vs_Multi_Call;Btn_3bet_Raiser_Vs_Multi_Raise
PreflopBtn;StatsCell;PreflopData;Btn_3bet_Raiser_Vs_Multi_Call;BTN call 3 bet pot as raiser multiway;Btn_3bet_Raiser_Vs_Multi_Raise;
PreflopBtn;StatsCell;PreflopData;Btn_3bet_Raiser_Vs_Multi_Raise;BTN raise 3 bet pot as raiser multiway;Btn_3bet_Raiser_Vs_Multi_Call;
PreflopBtn;StatsCell;PreflopData;Btn_4bet_Fold;BTN fold 4 bet pot;Btn_4bet_Call;Btn_4bet_Raise
PreflopBtn;StatsCell;PreflopData;Btn_4bet_Call;BTN call 4 bet pot;Btn_4bet_Raise;
PreflopBtn;StatsCell;PreflopData;Btn_4bet_Raise;BTN raise 4 bet pot;Btn_4bet_Call;
PreflopSb;StatsCell;PreflopData;Sb_Unopened_Fold;SB fold unopened pot;Sb_Unopened_Call;Sb_Unopened_Raise
PreflopSb;StatsCell;PreflopData;Sb_Unopened_Call;SB call unopened pot;Sb_Unopened_Raise;
PreflopSb;StatsCell;PreflopData;Sb_Unopened_Raise;SB raise unopened pot;Sb_Unopened_Call;
PreflopSb;StatsCell;PreflopData;Sb_Limp_Fold;SB fold limp pot;Sb_Limp_Call;Sb_Limp_Raise
PreflopSb;StatsCell;PreflopData;Sb_Limp_Call;SB call limp pot;Sb_Limp_Raise;
PreflopSb;StatsCell;PreflopData;Sb_Limp_Raise;SB raise limp pot;Sb_Limp_Call;
PreflopSb;StatsCell;PreflopData;Sb_Limp_Vs_Ep_Fold;SB fold limp pot vs EP;Sb_Limp_Vs_Ep_Call;Sb_Limp_Vs_Ep_Raise
PreflopSb;StatsCell;PreflopData;Sb_Limp_Vs_Ep_Call;SB call limp pot vs EP;Sb_Limp_Vs_Ep_Raise;
PreflopSb;StatsCell;PreflopData;Sb_Limp_Vs_Ep_Raise;SB raise limp pot vs EP;Sb_Limp_Vs_Ep_Call;
PreflopSb;StatsCell;PreflopData;Sb_Limp_Vs_Mp_Fold;SB fold limp pot vs MP;Sb_Limp_Vs_Mp_Call;Sb_Limp_Vs_Mp_Raise
PreflopSb;StatsCell;PreflopData;Sb_Limp_Vs_Mp_Call;SB call limp pot vs MP;Sb_Limp_Vs_Mp_Raise;
PreflopSb;StatsCell;PreflopData;Sb_Limp_Vs_Mp_Raise;SB raise limp pot vs MP;Sb_Limp_Vs_Mp_Call;
PreflopSb;StatsCell;PreflopData;Sb_Limp_Vs_Co_Fold;SB fold limp pot vs CO;Sb_Limp_Vs_Co_Call;Sb_Limp_Vs_Co_Raise
PreflopSb;StatsCell;PreflopData;Sb_Limp_Vs_Co_Call;SB call limp pot vs CO;Sb_Limp_Vs_Co_Raise;
PreflopSb;StatsCell;PreflopData;Sb_Limp_Vs_Co_Raise;SB raise limp pot vs CO;Sb_Limp_Vs_Co_Call;
PreflopSb;StatsCell;PreflopData;Sb_Limp_Vs_Btn_Fold;SB fold limp pot vs BTN;Sb_Limp_Vs_Btn_Call;Sb_Limp_Vs_Btn_Raise
PreflopSb;StatsCell;PreflopData;Sb_Limp_Vs_Btn_Call;SB call limp pot vs BTN;Sb_Limp_Vs_Btn_Raise;
PreflopSb;StatsCell;PreflopData;Sb_Limp_Vs_Btn_Raise;SB raise limp pot vs BTN;Sb_Limp_Vs_Btn_Call;
PreflopSb;StatsCell;PreflopData;Sb_Limp_Vs_Multi_Fold;SB fold limp pot multiway;Sb_Limp_Vs_Multi_Call;Sb_Limp_Vs_Multi_Raise
PreflopSb;StatsCell;PreflopData;Sb_Limp_Vs_Multi_Call;SB call limp pot multiway;Sb_Limp_Vs_Multi_Raise;
PreflopSb;StatsCell;PreflopData;Sb_Limp_Vs_Multi_Raise;SB raise limp pot multiway;Sb_Limp_Vs_Multi_Call;
PreflopSb;StatsCell;PreflopData;Sb_Raise_Fold;SB fold raise pot;Sb_Raise_Call;Sb_Raise_Raise
PreflopSb;StatsCell;PreflopData;Sb_Raise_Call;SB call raise pot;Sb_Raise_Raise;
PreflopSb;StatsCell;PreflopData;Sb_Raise_Raise;SB raise raise pot;Sb_Raise_Call;
PreflopSb;StatsCell;PreflopData;Sb_Raise_Vs_Ep_Fold;SB fold raise pot vs EP;Sb_Raise_Vs_Ep_Call;Sb_Raise_Vs_Ep_Raise
PreflopSb;StatsCell;PreflopData;Sb_Raise_Vs_Ep_Call;SB call raise pot vs EP;Sb_Raise_Vs_Ep_Raise;
PreflopSb;StatsCell;PreflopData;Sb_Raise_Vs_Ep_Raise;SB raise raise pot vs EP;Sb_Raise_Vs_Ep_Call;
PreflopSb;StatsCell;PreflopData;Sb_Raise_Vs_Mp_Fold;SB fold raise pot vs MP;Sb_Raise_Vs_Mp_Call;Sb_Raise_Vs_Mp_Raise
PreflopSb;StatsCell;PreflopData;Sb_Raise_Vs_Mp_Call;SB call raise pot vs MP;Sb_Raise_Vs_Mp_Raise;
PreflopSb;StatsCell;PreflopData;Sb_Raise_Vs_Mp_Raise;SB raise raise pot vs MP;Sb_Raise_Vs_Mp_Call;
PreflopSb;StatsCell;PreflopData;Sb_Raise_Vs_Co_Fold;SB fold raise pot vs CO;Sb_Raise_Vs_Co_Call;Sb_Raise_Vs_Co_Raise
PreflopSb;StatsCell;PreflopData;Sb_Raise_Vs_Co_Call;SB call raise pot vs CO;Sb_Raise_Vs_Co_Raise;
PreflopSb;StatsCell;PreflopData;Sb_Raise_Vs_Co_Raise;SB raise raise pot vs CO;Sb_Raise_Vs_Co_Call;
PreflopSb;StatsCell;PreflopData;Sb_Raise_Vs_Btn_Fold;SB fold raise pot vs BTN;Sb_Raise_Vs_Btn_Call;Sb_Raise_Vs_Btn_Raise
PreflopSb;StatsCell;PreflopData;Sb_Raise_Vs_Btn_Call;SB call raise pot vs BTN;Sb_Raise_Vs_Btn_Raise;
PreflopSb;StatsCell;PreflopData;Sb_Raise_Vs_Btn_Raise;SB raise raise pot vs BTN;Sb_Raise_Vs_Btn_Call;
PreflopSb;StatsCell;PreflopData;Sb_Raise_Vs_Multi_Fold;SB fold raise pot multiway;Sb_Raise_Vs_Multi_Call;Sb_Raise_Vs_Multi_Raise
PreflopSb;StatsCell;PreflopData;Sb_Raise_Vs_Multi_Call;SB call raise pot multiway;Sb_Raise_Vs_Multi_Raise;
PreflopSb;StatsCell;PreflopData;Sb_Raise_Vs_Multi_Raise;SB raise raise pot multiway;Sb_Raise_Vs_Multi_Call;
PreflopSb;StatsCell;PreflopData;Sb_Isolate_CC_Fold;SB fold isolate pot as cold caller;Sb_Isolate_CC_Call;Sb_Isolate_CC_Raise
PreflopSb;StatsCell;PreflopData;Sb_Isolate_CC_Call;SB call isolate pot as cold caller;Sb_Isolate_CC_Raise;
PreflopSb;StatsCell;PreflopData;Sb_Isolate_CC_Raise;SB raise isolate pot as cold caller;Sb_Isolate_CC_Call;
PreflopSb;StatsCell;PreflopData;Sb_Isolate_Limper_Fold;SB fold isolate pot as limper;Sb_Isolate_Limper_Call;Sb_Isolate_Limper_Raise
PreflopSb;StatsCell;PreflopData;Sb_Isolate_Limper_Call;SB call isolate pot as limper;Sb_Isolate_Limper_Raise;
PreflopSb;StatsCell;PreflopData;Sb_Isolate_Limper_Raise;SB raise isolate pot as limper;Sb_Isolate_Limper_Call;
PreflopSb;StatsCell;PreflopData;Sb_Isolate_Limper_Vs_Bb_Fold;SB fold isolate pot as limper vs BB;Sb_Isolate_Limper_Vs_Bb_Call;Sb_Isolate_Limper_Vs_Bb_Raise
PreflopSb;StatsCell;PreflopData;Sb_Isolate_Limper_Vs_Bb_Call;SB call isolate pot as limper vs BB;Sb_Isolate_Limper_Vs_Bb_Raise;
PreflopSb;StatsCell;PreflopData;Sb_Isolate_Limper_Vs_Bb_Raise;SB raise isolate pot as limper vs BB;Sb_Isolate_Limper_Vs_Bb_Call;
PreflopSb;StatsCell;PreflopData;Sb_Squeeze_CC_Fold;SB fold squeeze pot as cold caller;Sb_Squeeze_CC_Call;Sb_Squeeze_CC_Raise
PreflopSb;StatsCell;PreflopData;Sb_Squeeze_CC_Call;SB call squeeze pot as cold caller;Sb_Squeeze_CC_Raise;
PreflopSb;StatsCell;PreflopData;Sb_Squeeze_CC_Raise;SB raise squeeze pot as cold caller;Sb_Squeeze_CC_Call;
PreflopSb;StatsCell;PreflopData;Sb_Squeeze_Caller_Fold;SB fold squeeze pot as caller;Sb_Squeeze_Caller_Call;Sb_Squeeze_Caller_Raise
PreflopSb;StatsCell;PreflopData;Sb_Squeeze_Caller_Call;SB call squeeze pot as caller;Sb_Squeeze_Caller_Raise;
PreflopSb;StatsCell;PreflopData;Sb_Squeeze_Caller_Raise;SB raise squeeze pot as caller;Sb_Squeeze_Caller_Call;
PreflopSb;StatsCell;PreflopData;Sb_RaiseIsolate_CC_Fold;SB fold raise isolate pot as cold caller;Sb_RaiseIsolate_CC_Call;Sb_RaiseIsolate_CC_Raise
PreflopSb;StatsCell;PreflopData;Sb_RaiseIsolate_CC_Call;SB call raise isolate pot as cold caller;Sb_RaiseIsolate_CC_Raise;
PreflopSb;StatsCell;PreflopData;Sb_RaiseIsolate_CC_Raise;SB raise raise isolate pot as cold caller;Sb_RaiseIsolate_CC_Call;
PreflopSb;StatsCell;PreflopData;Sb_RaiseIsolate_Raiser_Fold;SB fold raise isolate pot as raiser;Sb_RaiseIsolate_Raiser_Call;Sb_RaiseIsolate_Raiser_Raise
PreflopSb;StatsCell;PreflopData;Sb_RaiseIsolate_Raiser_Call;SB call raise isolate pot as raiser;Sb_RaiseIsolate_Raiser_Raise;
PreflopSb;StatsCell;PreflopData;Sb_RaiseIsolate_Raiser_Raise;SB raise raise isolate pot as raiser;Sb_RaiseIsolate_Raiser_Call;
PreflopSb;StatsCell;PreflopData;Sb_RaiseIsolate_Limper_Fold;SB fold raise isolate pot as limper;Sb_RaiseIsolate_Limper_Call;Sb_RaiseIsolate_Limper_Raise
PreflopSb;StatsCell;PreflopData;Sb_RaiseIsolate_Limper_Call;SB call raise isolate pot as limper;Sb_RaiseIsolate_Limper_Raise;
PreflopSb;StatsCell;PreflopData;Sb_RaiseIsolate_Limper_Raise;SB raise raise isolate pot as limper;Sb_RaiseIsolate_Limper_Call;
PreflopSb;StatsCell;PreflopData;Sb_3bet_CC_Fold;SB fold 3 bet pot as cold caller;Sb_3bet_CC_Call;Sb_3bet_CC_Raise
PreflopSb;StatsCell;PreflopData;Sb_3bet_CC_Call;SB call 3 bet pot as cold caller;Sb_3bet_CC_Raise;
PreflopSb;StatsCell;PreflopData;Sb_3bet_CC_Raise;SB raise 3 bet pot as cold caller;Sb_3bet_CC_Call;
